# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 0.997799383385335 1.8914188567956e-05 0.0559808674234919 3.86125080692055e-06
2000 100000 1.96081780036224 1.95730561872472e-05 0.264215038109263 3.90878022840983e-06
3000 150000 2.96858326399681 2.06746559225414e-05 0.387356563693173 6.65794794283129e-07
4000 200000 3.99637990116652 2.04437574085745e-05 0.363456347283432 -1.0030830967287e-06
5000 250000 5.0321649017609 2.12568565792812e-05 0.32621119714314 -4.10889349604157e-07
6000 300000 6.11240795992328 2.11210700547995e-05 0.352555279931241 2.02060579122441e-06
7000 350000 7.13476108272927 2.01444726578067e-05 0.491421914349171 2.86739655023329e-06
8000 400000 8.1470029497827 2.04549289769885e-05 0.596275851626048 1.0571374650283e-06
9000 450000 9.1819000279395 2.08134031350724e-05 0.602308457922432 -3.75736230693232e-07
10000 500000 10.2231544280593 2.10166074933942e-05 0.588169286608029 -1.15667926990253e-07
11000 550000 11.2861616309693 2.10659299342801e-05 0.611070312230601 1.31364321216294e-06
12000 600000 12.320852363477 2.0447902484192e-05 0.715392146696013 2.40639495786751e-06
13000 650000 13.3431274462008 2.05211160339068e-05 0.81171802896511 1.27010376687775e-06
14000 700000 14.3719892645415 2.0718465860298e-05 0.842706093355678 1.29428531661005e-07
15000 750000 15.4154438761263 2.10934691590082e-05 0.84668621964508 1.1459008770526e-07
16000 800000 16.471026542443 2.09617104123422e-05 0.872685080750409 1.19966428345519e-06
17000 850000 17.5069397942486 2.05240742704764e-05 0.956683804923616 1.97013381351347e-06
18000 900000 18.5342237635566 2.06233130388948e-05 1.04124462833893 1.277720181671e-06
19000 950000 19.5668515119305 2.06986368924079e-05 1.08114742634991 3.68102493800204e-07
20000 1000000 20.607427744942 2.09845722907748e-05 1.09408990797854 2.8469013203445e-07
21000 1050000 21.6609663963963 2.09117817579973e-05 1.12731880897996 1.14023866173496e-06
22000 1100000 22.6981349170237 2.06413323504935e-05 1.19598129647573 1.50986732074162e-06
23000 1150000 23.73022367687 2.06114314480279e-05 1.26711250723623 1.24584372299552e-06
24000 1200000 24.7654866266203 2.07947258739809e-05 1.31545692814109 6.57731637660309e-07
25000 1250000 25.8103410736282 2.09065117013647e-05 1.33810509396313 3.73650241222082e-07
26000 1300000 26.8547589772434 2.08570627158826e-05 1.37030701055123 9.99995313034295e-07
27000 1350000 27.8930116068564 2.06532228723805e-05 1.43174899860439 1.36752276039203e-06
28000 1400000 28.9247045913085 2.06927741628208e-05 1.4993922634829 1.18454364843906e-06
29000 1450000 29.9622957621169 2.09010463912319e-05 1.54480670632208 6.0770282578437e-07
30000 1500000 31.0082001711058 2.08860531644058e-05 1.572906711629 6.75169987512306e-07
31000 1550000 32.0502178789832 2.08399255260781e-05 1.61570015142341 1.02292748195991e-06
32000 1600000 33.0916817458871 2.07648523360178e-05 1.6724047466847 1.15768184739499e-06
33000 1650000 34.1273121181028 2.07030431987313e-05 1.72356815347078 9.65013254014344e-07
34000 1700000 35.1656897952173 2.08240191356691e-05 1.76792407390165 8.14860127340858e-07
35000 1750000 36.2107293125766 2.08785527437963e-05 1.81113383049659 8.39012450360384e-07
36000 1800000 37.25013119238 2.07375258117016e-05 1.85461722448459 9.35416405987254e-07
37000 1850000 38.2901185612119 2.08108919751455e-05 1.90314776556727 9.72066094956697e-07
38000 1900000 39.3291541460953 2.07819787869476e-05 1.9533454589876 1.0792605712194e-06
39000 1950000 40.3696807047074 2.08480803379124e-05 2.00423791483918 9.11963707459502e-07
40000 2000000 41.4116730998163 2.08636891973455e-05 2.04426053665427 7.89034028246746e-07
41000 2050000 42.4520751514281 2.06933325695064e-05 2.09066693340093 9.58497522376344e-07
42000 2100000 43.491017818613 2.08709954746527e-05 2.13805437930089 1.00486565427292e-06
43000 2150000 44.5323770421778 2.0787547716109e-05 2.18611850742599 8.30044167953553e-07
44000 2200000 45.5727475769337 2.08218251131219e-05 2.22809321154859 8.47241819431928e-07
45000 2250000 46.616932870211 2.08870951007376e-05 2.27644512114085 1.01793389974246e-06
46000 2300000 47.6599729610449 2.07957144446296e-05 2.32314003029125 8.98942962541114e-07
47000 2350000 48.6978295494382 2.08772601428644e-05 2.36495257725032 7.69477997950176e-07
48000 2400000 49.7423523319523 2.07690391083652e-05 2.40337240770565 8.64836101162223e-07
49000 2450000 50.7815602229458 2.08599716551089e-05 2.45239012753175 1.01781910948473e-06
50000 2500000 51.826476293566 2.08454152050124e-05 2.50139919766121 9.54312733972672e-07
