# Fix print output for fix posit_out
0 0 61.2139170159524 1.30626239216869e-06 31.6174820281576 6.43253580516322e-07
1000 50000 61.2984459991862 1.62355335554022e-06 31.6516663857376 7.20699651256451e-07
2000 100000 61.3783619305494 1.58737489007406e-06 31.6882803455947 7.32061002731613e-07
3000 150000 61.4581827221923 1.60557651365076e-06 31.7245157787605 7.23199364410045e-07
4000 200000 61.5384149437539 1.60923437110306e-06 31.7608808555616 7.32758372569352e-07
5000 250000 61.6194673653881 1.63385283144243e-06 31.7978321784322 7.4487877198307e-07
6000 300000 61.7016785631946 1.6480964658562e-06 31.83594491583 7.81480784997021e-07
7000 350000 61.7838744679411 1.64215740141595e-06 31.8758937556474 8.16108158316291e-07
8000 400000 61.8658349707591 1.64094018895349e-06 31.9169577580566 8.22975575085842e-07
9000 450000 61.9486243264675 1.6650735134003e-06 31.9581838081806 8.25483942484543e-07
10000 500000 62.0314909736507 1.65559555385095e-06 31.999246996008 8.19487548182685e-07
11000 550000 62.1142242746443 1.64394333959256e-06 32.0400947012329 8.12521637310769e-07
12000 600000 62.195357554005 1.598327465303e-06 32.080713460066 8.03937436942831e-07
13000 650000 62.2742645975925 1.5633196512463e-06 32.1200313256076 7.69028089535184e-07
14000 700000 62.3524771617278 1.57657423181656e-06 32.1577798421624 7.5183238126323e-07
15000 750000 62.4319173283504 1.59370459125465e-06 32.1956615172204 7.59459717480457e-07
16000 800000 62.512166556187 1.62082626873601e-06 32.2335057396915 7.53095884451907e-07
17000 850000 62.5935742596436 1.63506373884705e-06 32.270763257652 7.39888057593979e-07
18000 900000 62.6751491289259 1.62099443459135e-06 32.3079763257274 7.51018451546221e-07
19000 950000 62.7557412232989 1.60310883257553e-06 32.3461974156242 7.79074315826796e-07
20000 1000000 62.8351128059803 1.58278430937038e-06 32.3856359730312 8.01518854189061e-07
21000 1050000 62.9145736562116 1.59318981377209e-06 32.4261031501847 8.093139141247e-07
22000 1100000 62.9942951873621 1.59229183243687e-06 32.4661668177937 7.91168678448534e-07
23000 1150000 63.0736873170386 1.58818992060609e-06 32.5053334232712 7.80467517050334e-07
24000 1200000 63.1538796487319 1.61878726329052e-06 32.5443189318116 7.81339956958975e-07
25000 1250000 63.235519550567 1.65381569733218e-06 32.5845791831409 8.33615662199418e-07
26000 1300000 63.3188418320162 1.66939943842379e-06 32.6262902967479 8.26655339642589e-07
27000 1350000 63.4018535682913 1.64562814035858e-06 32.6670702184017 7.99181914018431e-07
28000 1400000 63.482880029204 1.59544520550782e-06 32.7057972611213 7.52971313989273e-07
29000 1450000 63.5619462614216 1.56966773251141e-06 32.7431639805855 7.52531647669502e-07
30000 1500000 63.6394623049471 1.52986156083375e-06 32.7811973127025 7.70345049129669e-07
31000 1550000 63.7155452137957 1.51913872094067e-06 32.8204595989917 8.00741987590535e-07
32000 1600000 63.7913401997661 1.5124559750954e-06 32.8605190350007 7.92916862557165e-07
33000 1650000 63.8669754769159 1.51739742958438e-06 32.8998477203345 7.8593259941497e-07
34000 1700000 63.9430900463481 1.51751437870004e-06 32.9389814945722 7.71471376699283e-07
35000 1750000 64.0191340121531 1.5316818831625e-06 32.976765342251 7.4542837636709e-07
36000 1800000 64.0964516315223 1.56498058818194e-06 33.0137625564069 7.38104918860485e-07
37000 1850000 64.1762644532441 1.62622780660744e-06 33.0520343511624 7.95942381760853e-07
38000 1900000 64.2583928696644 1.65057727371172e-06 33.0924422572467 8.11859423636682e-07
39000 1950000 64.3404207953022 1.62619019710353e-06 33.1327221381738 8.00187516053412e-07
40000 2000000 64.4212068441129 1.6080801822509e-06 33.1727319094974 8.03222981617308e-07
41000 2050000 64.5012862940175 1.59583915738814e-06 33.2129101532273 8.02341928410255e-07
42000 2100000 64.5807235383169 1.57730077547671e-06 33.2530995153251 8.07645847350855e-07
43000 2150000 64.6595373249783 1.58618097062834e-06 33.2938733612536 8.22136641640094e-07
44000 2200000 64.7385580999609 1.57701160363971e-06 33.3342939360078 7.93151214247475e-07
45000 2250000 64.8186915879122 1.63540215289579e-06 33.3735786845302 7.75870113271875e-07
46000 2300000 64.9012090397064 1.64328168067651e-06 33.4119407132548 7.59514374152106e-07
47000 2350000 64.9828003879474 1.6247361763708e-06 33.4497849028743 7.56464907281675e-07
48000 2400000 65.064012815235 1.62853393483596e-06 33.4876401534416 7.62811097020767e-07
49000 2450000 65.1459739534736 1.63984968559155e-06 33.5265232062498 7.90931884278235e-07
50000 2500000 65.2265666887921 1.58267474085515e-06 33.5658533258539 7.80241674466329e-07
51000 2550000 65.3047886380845 1.55102627402026e-06 33.6045149235946 7.63070168677781e-07
52000 2600000 65.3823190155075 1.55526312374089e-06 33.6421015299992 7.43642099877698e-07
53000 2650000 65.4612975899887 1.60995162826258e-06 33.6793241746151 7.50725742873197e-07
54000 2700000 65.5427163401477 1.63682089957252e-06 33.716848220713 7.43412291553381e-07
55000 2750000 65.6250349933647 1.65676268825947e-06 33.7540511231613 7.52998042919686e-07
56000 2800000 65.7076023425895 1.64469149794876e-06 33.7923686243965 7.78330596887889e-07
57000 2850000 65.789396479664 1.62377758032654e-06 33.8312189664329 7.69672984851758e-07
58000 2900000 65.869642855422 1.59043636251211e-06 33.869434787419 7.64280216417841e-07
