# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 1.22273701734542 2.4138162611824e-05 0.0730492650996737 4.37783073391946e-06
2000 100000 2.46454311518797 2.57321629568005e-05 0.27259203489742 2.46099036575139e-06
3000 150000 3.78125574243411 2.63424343084473e-05 0.274761058185821 -1.46773101863858e-06
4000 200000 5.12514758339183 2.77700702864564e-05 0.212031395284216 -6.26320029543e-07
5000 250000 6.47912825234635 2.58327104271015e-05 0.283997304831004 3.19600646257776e-06
6000 300000 7.76703172773325 2.60623407380512e-05 0.402885464290782 8.94618348285553e-07
7000 350000 9.08713931264927 2.66977274371763e-05 0.38490088926776 -9.02712705036734e-07
8000 400000 10.4388854034639 2.74633025628145e-05 0.355934187773882 2.59403114239291e-08
9000 450000 11.775970071599 2.59659074094748e-05 0.435062774647326 2.50608039602206e-06
10000 500000 13.079409900286 2.63119226955439e-05 0.520978911391046 4.72857176336972e-07
11000 550000 14.402149295627 2.6662771688686e-05 0.501840148218441 -6.76513659013819e-07
12000 600000 15.756311433834 2.71663039946272e-05 0.492478188687554 6.75923481609717e-07
13000 650000 17.0835250859236 2.60588294673594e-05 0.573875498117437 2.01039312035161e-06
14000 700000 18.3928043730767 2.64976632934419e-05 0.637497014938777 2.91475707627628e-07
15000 750000 19.7245067505686 2.68342796543939e-05 0.624079183267011 -4.22199600347057e-07
16000 800000 21.0721457459119 2.68729814367436e-05 0.629278914107852 1.0048039607702e-06
17000 850000 22.394210551843 2.62271388731892e-05 0.706179854176489 1.55577926980092e-06
18000 900000 23.7098848903687 2.65521470883862e-05 0.748655129955692 9.96301777302311e-08
19000 950000 25.0505730480218 2.69970678983652e-05 0.74420750595773 -3.07615315538104e-08
20000 1000000 26.3896412989641 2.65390843699764e-05 0.771103769473356 1.20408930990454e-06
21000 1050000 27.7113997144148 2.63649479429138e-05 0.838281390881489 1.13088825568031e-06
22000 1100000 29.0313937702352 2.65427211965482e-05 0.869333829664691 5.29595777781891e-08
23000 1150000 30.3716004535465 2.69832362323976e-05 0.866841244444585 1.77435845887625e-07
24000 1200000 31.7074933483324 2.64908166552306e-05 0.906020059424575 1.18985784655678e-06
25000 1250000 33.0297669546478 2.64229069376723e-05 0.963354876586128 8.28345102062039e-07
26000 1300000 34.3595365724707 2.66787461744329e-05 0.981873393945699 -1.97521077074178e-09
27000 1350000 35.6963198743474 2.67181483696333e-05 0.990021774258914 6.00295466631342e-07
28000 1400000 37.0274155288355 2.64538436834352e-05 1.03728927624372 1.00826533564423e-06
29000 1450000 38.3497833733642 2.64487579669045e-05 1.08056379536903 6.51609113301512e-07
30000 1500000 39.6831726756581 2.6877136164794e-05 1.09943374275304 2.99410939291174e-07
31000 1550000 41.0182962531822 2.6560061545699e-05 1.12472302056619 7.58010184751186e-07
32000 1600000 42.3474607665491 2.65643990665625e-05 1.16650209923765 7.90915870800816e-07
33000 1650000 43.6734210783029 2.65645250305458e-05 1.19679699181789 4.37954192350666e-07
34000 1700000 45.0098377124878 2.68800222713321e-05 1.21615672898143 5.2572744552202e-07
35000 1750000 46.3407670244103 2.65647122338351e-05 1.2503769613938 6.83639261893107e-07
36000 1800000 47.6707305028753 2.65479303843507e-05 1.28463518422619 6.44884578252338e-07
37000 1850000 49.0005234844232 2.66588934327915e-05 1.31702716456813 5.84992485960121e-07
38000 1900000 50.3344472607103 2.65720701231914e-05 1.34044165181474 5.24747189898464e-07
39000 1950000 51.6631444170748 2.65220807219823e-05 1.37366823063401 6.55113072678513e-07
40000 2000000 52.9932522120046 2.65535760688237e-05 1.40444216315836 6.91736470246388e-07
