# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 0.0277682963546153 2.72981227577441e-07 -0.044353097440646 7.64602227304213e-08
2000 100000 0.0387038379409153 1.78448757815831e-07 -0.040321044725282 7.92090862642759e-08
3000 150000 0.0463505968827416 1.31586861696629e-07 -0.0366547222314043 6.69179111474432e-08
4000 200000 0.0521451129786517 1.02169836162318e-07 -0.033623358202913 5.46740632524059e-08
5000 250000 0.0567178930329967 8.19028225024414e-08 -0.0311469579203075 4.47930748359376e-08
6000 300000 0.0604291950671206 6.73121488637615e-08 -0.0291059539403318 3.71899125648303e-08
7000 350000 0.063512769950184 5.65634867680806e-08 -0.0273976973573592 3.140465362356e-08
8000 400000 0.066130826663555 4.8543516627969e-08 -0.0259425212882508 2.69999611682986e-08
9000 450000 0.0684001178969378 4.25102515478943e-08 -0.0246808212263315 2.36100827433782e-08
10000 500000 0.0704061667587782 3.79413004995575e-08 -0.0235696530705895 2.09345391287226e-08
11000 550000 0.0722126235001117 3.44795789386676e-08 -0.0225791537170786 1.87552501755386e-08
12000 600000 0.0738688616489624 3.19052370928824e-08 -0.0216879623321121 1.69476574033894e-08
13000 650000 0.0754158541637168 3.00951594920078e-08 -0.0208793680602323 1.54416636327013e-08
14000 700000 0.0768897461447071 2.89621437908328e-08 -0.0201397399178931 1.41772047628849e-08
15000 750000 0.0783192155071308 2.82419524127648e-08 -0.0194597234680147 1.30203717731503e-08
16000 800000 0.0797114433709713 2.73961790632967e-08 -0.0188406119176288 1.17006598963082e-08
17000 850000 0.0810563450883755 2.64137601529823e-08 -0.018292327808039 1.02327572839964e-08
18000 900000 0.0823554831570797 2.55664968295189e-08 -0.0178149982429844 8.89430588057054e-09
19000 950000 0.0836119626017778 2.46663593911256e-08 -0.0173991108445758 7.78463890379939e-09
20000 1000000 0.0848202916809891 2.36697032361239e-08 -0.0170314925053988 6.97496041773214e-09
21000 1050000 0.0859822150463058 2.28715945821102e-08 -0.0166962621484642 6.484059767351e-09
22000 1100000 0.0871172547104098 2.26603462841689e-08 -0.016378542915025 6.26431786507397e-09
23000 1150000 0.0882609932987389 2.31437261028575e-08 -0.0160679727497275 6.13450855792133e-09
24000 1200000 0.0894166190171945 2.27390137112037e-08 -0.0157720195647298 5.64382306573309e-09
25000 1250000 0.090504965796375 2.06729184502305e-08 -0.0155019050141041 5.21980102663448e-09
26000 1300000 0.0914873224330242 1.87265554973456e-08 -0.0152463340383364 5.01137133778719e-09
27000 1350000 0.0923872592128787 1.73420177481684e-08 -0.0150018709835097 4.74260011914338e-09
28000 1400000 0.0932261718659335 1.6245216114804e-08 -0.0147751425107341 4.29519234696959e-09
29000 1450000 0.0940147137240083 1.5328279447542e-08 -0.0145746874385771 3.71260535393882e-09
30000 1500000 0.0947617836074561 1.45703267944193e-08 -0.0144031337220914 3.17581260677394e-09
31000 1550000 0.095471635757266 1.38103944024967e-08 -0.0142531596255482 2.86683695138981e-09
32000 1600000 0.0961414768581633 1.2975245740146e-08 -0.0141130823312362 2.75504084990683e-09
33000 1650000 0.096769046747373 1.21320474821569e-08 -0.0139771520866722 2.67696465662608e-09
34000 1700000 0.0973555678776185 1.13417857525695e-08 -0.0138464337314011 2.53855403779656e-09
35000 1750000 0.0979048849056899 1.06501500438635e-08 -0.0137246190676705 2.32196861186959e-09
36000 1800000 0.0984225179462167 1.00723983032237e-08 -0.0136152377976028 2.04549671744167e-09
37000 1850000 0.0989133200697061 9.56494314598755e-09 -0.0135206185605916 1.73623885123668e-09
38000 1900000 0.0993788387255238 9.04819331093506e-09 -0.0134416018778543 1.42841424691861e-09
39000 1950000 0.0998170950926445 8.47119199016722e-09 -0.0133769025809661 1.17316713975309e-09
40000 2000000 0.100225159248824 7.84807223667816e-09 -0.0133225418396123 1.02109632735976e-09
41000 2050000 0.100602241806259 7.24620840023462e-09 -0.0132728238003092 9.85678708633746e-10
42000 2100000 0.100951710519691 6.76043442190594e-09 -0.0132224500661151 1.04180640026683e-09
43000 2150000 0.101281997685636 6.49833697700867e-09 -0.0131675121032812 1.16753476477888e-09
44000 2200000 0.101607515444017 6.5957041864109e-09 -0.0131041204270603 1.39032321471944e-09
45000 2250000 0.101949570533491 7.15285436587632e-09 -0.0130255217822013 1.78487520907215e-09
46000 2300000 0.102321407599812 7.5911694832735e-09 -0.0129253908427467 2.16532774622876e-09
47000 2350000 0.102692929153563 7.19086745450596e-09 -0.0128194105557795 1.96856257683602e-09
48000 2400000 0.103042765012026 6.87963052210072e-09 -0.0127345996633808 1.39899748288886e-09
49000 2450000 0.103389912922358 7.10283322813107e-09 -0.012681760678207 6.75800886199266e-10
50000 2500000 0.103761152421217 7.76594879298383e-09 -0.0126730266329333 -3.75271786726631e-10
51000 2550000 0.104153089759027 7.66000054808359e-09 -0.0127098953512234 -8.23197108962741e-10
52000 2600000 0.104512199331246 6.69831127794622e-09 -0.0127324536371231 -2.21705573049617e-11
53000 2650000 0.104826993569516 5.93794393384299e-09 -0.0127161700493735 6.07998680139009e-10
54000 2700000 0.105109504635263 5.38988712361846e-09 -0.0126767521801192 9.34008454636858e-10
55000 2750000 0.105368238394991 4.97861502824573e-09 -0.0126250593937052 1.11940394231653e-09
