# Fix print output for fix posit_out
0 0 100.738062159676 1.93395352919362e-06 50.0100909275264 8.78829721458836e-07
1000 50000 100.855867269408 2.3428447246527e-06 50.0561995956719 9.72571061907219e-07
2000 100000 100.973964480158 2.37357683203877e-06 50.1061352611242 1.01354697468902e-06
3000 150000 101.091163276451 2.29854939769445e-06 50.1569509288398 1.01001849231593e-06
4000 200000 101.203862904489 2.2233417025383e-06 50.2066261379096 9.80256326805341e-07
5000 250000 101.315148112371 2.24484569170428e-06 50.2552577329586 9.68538806619578e-07
6000 300000 101.429385119809 2.31527942493392e-06 50.3041962016485 9.91953363458523e-07
7000 350000 101.545150225602 2.30296583517733e-06 50.3537563591041 9.81445561982374e-07
8000 400000 101.658615627053 2.24435526753295e-06 50.4020831788544 9.52130511964237e-07
9000 450000 101.771003266799 2.26733832009987e-06 50.4493623983417 9.54289730968662e-07
10000 500000 101.885857469145 2.31270754963015e-06 50.4987221096486 1.0179958588416e-06
11000 550000 102.001569005817 2.3214413501096e-06 50.5496422758203 1.00596762352983e-06
12000 600000 102.117354995858 2.30178515353006e-06 50.5990070379086 9.69646040263341e-07
13000 650000 102.231474296058 2.2757958051066e-06 50.6474559366208 9.74853495619008e-07
14000 700000 102.345906635971 2.31184312054802e-06 50.6969651172517 1.0026646442818e-06
15000 750000 102.462059814553 2.32232692867688e-06 50.746283159079 9.53367523503181e-07
16000 800000 102.577475241943 2.29542468693388e-06 50.7928198114882 9.27093309931876e-07
17000 850000 102.692631588195 2.3272395168431e-06 50.840324621899 9.72785440974598e-07
18000 900000 102.809327755518 2.32479469857399e-06 50.8893579911687 9.80040019239591e-07
19000 950000 102.924902837071 2.30277262116839e-06 50.9387248981346 1.00097959474774e-06
20000 1000000 103.03995830092 2.29913137152526e-06 50.9889659262992 9.95889487179617e-07
21000 1050000 103.154433265913 2.28699483652573e-06 51.0384640507694 9.94366127837174e-07
22000 1100000 103.269659590576 2.32075469020577e-06 51.0887365084861 1.01074182559804e-06
23000 1150000 103.386293291684 2.33757943066644e-06 51.1386191822169 9.8574970491191e-07
24000 1200000 103.502978215692 2.32925005249147e-06 51.1880580884655 9.97625747360607e-07
25000 1250000 103.619233895576 2.32024565790363e-06 51.2382996145565 1.0037515013172e-06
26000 1300000 103.734051039539 2.27483187797072e-06 51.2873324161322 9.52652397620794e-07
27000 1350000 103.847936168646 2.29031614401467e-06 51.3342532547863 9.42663502071779e-07
28000 1400000 103.964434292424 2.36918476190405e-06 51.3823624927685 9.67871646251957e-07
29000 1450000 104.083859720106 2.38839016023841e-06 51.4303039710142 9.57203769694026e-07
30000 1500000 104.201808229392 2.32970930161006e-06 51.4794633134478 1.01149282492451e-06
31000 1550000 104.317721522417 2.31213313177673e-06 51.5312666645561 1.05671524455469e-06
32000 1600000 104.43263597818 2.2817609715947e-06 51.5835792602166 1.01627019386793e-06
33000 1650000 104.546594495601 2.29249755235688e-06 51.6330290089488 9.7584684141321e-07
34000 1700000 104.661352329004 2.29076190435122e-06 51.6815892951286 9.74150990567424e-07
35000 1750000 104.776309968492 2.29805149322095e-06 51.7314585716047 1.01759735964391e-06
36000 1800000 104.890026723061 2.26501803910508e-06 51.7819556132706 9.90337138742926e-07
37000 1850000 105.002756148698 2.24181192381722e-06 51.830487231258 9.65883062244648e-07
38000 1900000 105.115694398534 2.28639995861776e-06 51.8793622520728 9.93599171202535e-07
39000 1950000 105.230643025464 2.30161811546029e-06 51.9296844405927 1.01078291223573e-06
40000 2000000 105.346708882599 2.3443365213322e-06 51.9801748005632 1.00412658694518e-06
41000 2050000 105.461678258744 2.23485969489326e-06 52.029547645438 9.70981777612319e-07
42000 2100000 105.57166851761 2.19164787571448e-06 52.077885415346 9.77114085319568e-07
43000 2150000 105.682169983808 2.21971960929687e-06 52.1276677442288 1.00802716666344e-06
44000 2200000 105.794164380526 2.26178836591939e-06 52.1786587136139 1.02165345409274e-06
