# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 0.577945998114242 9.77564352711183e-06 0.0166021983582515 2.37813242867788e-06
2000 100000 1.06826796485895 9.89577473978806e-06 0.162883592267831 3.28500790724443e-06
3000 150000 1.55934064695014 9.86662108760301e-06 0.326909224652187 3.36690758931539e-06
4000 200000 2.05282378588033 9.90159433518959e-06 0.494684374023339 3.30139509523614e-06
5000 250000 2.54960500819366 9.96378122695258e-06 0.655287945980702 3.04730451545923e-06
6000 300000 3.05017008898697 1.00032113920473e-05 0.800224108808441 2.71637207203943e-06
7000 350000 3.54998378572355 1.00900891833117e-05 0.919045672606849 2.01213256938943e-06
8000 400000 4.05860699393614 1.02542958082772e-05 1.00554916273128 1.47875932184607e-06
9000 450000 4.57454852595708 1.02982908411752e-05 1.07122368830255 1.15883985770239e-06
10000 500000 5.09008640485286 1.03208059611261e-05 1.12494992389209 1.04929360035575e-06
11000 550000 5.61018365987213 1.04716690115936e-05 1.17711682809499 1.09970618941688e-06
12000 600000 6.13699761736964 1.0593205061749e-05 1.23345904532143 1.11845459734356e-06
13000 650000 6.66351757440842 1.05153440579849e-05 1.29137948558119 1.25468304121848e-06
14000 700000 7.18888007376274 1.0427574346472e-05 1.36112841604128 1.58889713474244e-06
15000 750000 7.70507131210438 1.02896697827607e-05 1.44870126731311 1.88008357180582e-06
16000 800000 8.21763887451108 1.02794820536882e-05 1.54843953965956 2.0941930099501e-06
17000 850000 8.73347353486245 1.02869750249414e-05 1.65812525997736 2.25241735408269e-06
18000 900000 9.24469552775299 1.02421666718621e-05 1.76746927579507 2.10543345739155e-06
19000 950000 9.75858599537974 1.03257786971262e-05 1.8724390083549 2.06453805661853e-06
20000 1000000 10.2728388980307 1.01822615125306e-05 1.97265923389122 1.95220353264997e-06
21000 1050000 10.7811443028495 1.02198941239776e-05 2.06825231389421 1.84868212008616e-06
22000 1100000 11.2979861964033 1.03799965850455e-05 2.15485155303801 1.63014022018681e-06
23000 1150000 11.8176907042096 1.04078762219805e-05 2.2345200649202 1.55769202081849e-06
24000 1200000 12.3366974512923 1.03326468756451e-05 2.31082393918847 1.47842368351364e-06
25000 1250000 12.853650828952 1.02995979986631e-05 2.3860581293767 1.53070196252e-06
26000 1300000 13.3688475535093 1.03634063839217e-05 2.46187603835489 1.52397685118763e-06
27000 1350000 13.8876758331627 1.03898985476401e-05 2.54031833344939 1.64300810664904e-06
28000 1400000 14.4082211130057 1.03590552805554e-05 2.6269118153475 1.77505812743813e-06
29000 1450000 14.9295400082019 1.04327349344448e-05 2.71451186039384 1.70065119294183e-06
30000 1500000 15.4463912214906 1.02375356041078e-05 2.80031169146967 1.70861385803551e-06
31000 1550000 15.9628280337851 1.03768322177602e-05 2.88494585689783 1.71677230417985e-06
32000 1600000 16.4823986881282 1.03434450486964e-05 2.97294128377916 1.82698439140178e-06
33000 1650000 16.9982253528723 1.03366033352475e-05 3.06345056062107 1.77334696637282e-06
34000 1700000 17.5127594740784 1.02614084918232e-05 3.15341189968412 1.85608371196629e-06
35000 1750000 18.029112277653 1.03055622591191e-05 3.24639738649666 1.8202502706315e-06
36000 1800000 18.5461230793499 1.03269145163881e-05 3.33462969698286 1.70167858143453e-06
37000 1850000 19.0633332343869 1.03920260653102e-05 3.41977159601877 1.62009932654198e-06
38000 1900000 19.5852694531893 1.04381422738192e-05 3.50156480294289 1.71015754314828e-06
39000 1950000 20.1083848902001 1.04403964907031e-05 3.58407031610164 1.56729421081216e-06
40000 2000000 20.6263619865919 1.03295915975813e-05 3.6589152067422 1.46518128144577e-06
41000 2050000 21.1428320440599 1.03606561018308e-05 3.73313819605979 1.47748060901369e-06
42000 2100000 21.6628166157334 1.04236914948615e-05 3.80615510876331 1.45228701553187e-06
43000 2150000 22.1856535121047 1.04496108270935e-05 3.87844821417829 1.46182970958593e-06
44000 2200000 22.7096646775637 1.05105245480964e-05 3.95437641117821 1.58320645925106e-06
45000 2250000 23.2305080933524 1.0348267646869e-05 4.03501222812305 1.66014456733991e-06
46000 2300000 23.7479479868515 1.03801002845909e-05 4.11741567722721 1.63041013754358e-06
47000 2350000 24.2661210715217 1.03771844385291e-05 4.20039174672244 1.67554315557652e-06
48000 2400000 24.7882267884057 1.04546912775849e-05 4.28542184611513 1.74056447093167e-06
49000 2450000 25.3121433620577 1.04528540362749e-05 4.37491272302532 1.84308172260994e-06
50000 2500000 25.8307356136979 1.03025182661755e-05 4.464390457617 1.7036271300787e-06
51000 2550000 26.3453081546432 1.02572276867024e-05 4.54710947651619 1.60834171034866e-06
52000 2600000 26.8626312403766 1.03847673619152e-05 4.6243660038561 1.51893681316085e-06
53000 2650000 27.3834437768568 1.04456271191937e-05 4.69870417224482 1.43852976740123e-06
54000 2700000 27.9064317004618 1.04854465551035e-05 4.77207722301428 1.47463130908472e-06
55000 2750000 28.4322405426991 1.04290341341642e-05 4.84463252738253 1.42571211242529e-06
56000 2800000 28.9542710074416 1.04904193720813e-05 4.91478644166468 1.42042061721322e-06
57000 2850000 29.4790444690715 1.05238147496492e-05 4.98957937043661 1.51334477738851e-06
58000 2900000 30.0037771410071 1.05007868395997e-05 5.06694851732377 1.62096677090978e-06
59000 2950000 30.5294913616531 1.05281941390836e-05 5.14906666943864 1.65619469373126e-06
60000 3000000 31.0535928645087 1.03518166973221e-05 5.23405531048959 1.78025982505031e-06
