# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 0.046163223602342 5.56784882416278e-07 -0.0422380441212157 1.54505819512893e-07
2000 100000 0.0686208045091903 3.69376443575955e-07 -0.0340821714906156 1.60488005829936e-07
3000 150000 0.0845854949826848 2.77756878200578e-07 -0.0266307790419108 1.3657625863734e-07
4000 200000 0.0969874248252705 2.22557735245534e-07 -0.0204060159031832 1.13156095138696e-07
5000 250000 0.107171880646122 1.8744419924171e-07 -0.0152288550018222 9.4790265637753e-08
6000 300000 0.115945629810289 1.65213717163435e-07 -0.0108501067808354 8.10106167207071e-08
7000 350000 0.123824441059092 1.50883503715001e-07 -0.00707602836218169 7.03480765616666e-08
8000 400000 0.131100088979195 1.40529757710189e-07 -0.00378367234187756 6.16280728160092e-08
9000 450000 0.13788292679721 1.30649755663992e-07 -0.000880728374117652 5.48529681942582e-08
10000 500000 0.144162831603218 1.20591398199257e-07 0.00173210411965626 4.99009158324228e-08
11000 550000 0.149960133994927 1.11653170175845e-07 0.00413841069907816 4.66843923976468e-08
12000 600000 0.15535404738615 1.04280830443397e-07 0.00642378906932584 4.48590597174423e-08
13000 650000 0.16043172413619 9.95743358297325e-08 0.00864697952079945 4.45200282419684e-08
14000 700000 0.165392051596586 9.90546327242146e-08 0.0109352844376735 4.71609904573541e-08
15000 750000 0.170281512339229 9.64487048356903e-08 0.0132841656369897 4.62869887360962e-08
16000 800000 0.17505661835691 9.48010837076147e-08 0.0155558183950064 4.45991132614097e-08
17000 850000 0.17979072592135 9.46324149201997e-08 0.0177654306932864 4.43149707759398e-08
18000 900000 0.184504009066589 9.38634903001881e-08 0.0200383489603424 4.67166314840531e-08
19000 950000 0.189213806757245 9.49811372863988e-08 0.0224420948736898 4.95484848853565e-08
20000 1000000 0.193985465686124 9.54498590143933e-08 0.0249739542138772 5.12963426359392e-08
21000 1050000 0.198766228238544 9.63700870854236e-08 0.0275454592300809 5.1572622464598e-08
22000 1100000 0.203672705825607 1.00049439726909e-07 0.0301266090175736 5.14698782927588e-08
23000 1150000 0.208754749308994 1.02242575631665e-07 0.032662414678958 4.93387098757987e-08
24000 1200000 0.213712080055969 9.46677249380209e-08 0.0349894161959316 4.35790121918877e-08
25000 1250000 0.218221657411904 8.64324136626438e-08 0.0370404572320873 3.86610687917912e-08
26000 1300000 0.22241103304901 8.14310156779566e-08 0.038876977208791 3.50545245331729e-08
27000 1350000 0.226391195193531 7.80893778296273e-08 0.0405642369672753 3.25255645788969e-08
28000 1400000 0.23023714378025 7.5749740250379e-08 0.0421407799205055 3.07978080116518e-08
29000 1450000 0.233961659867364 7.30751404697681e-08 0.0436743378491093 3.06676567178691e-08
30000 1500000 0.237544409032256 7.07916881682917e-08 0.0452160338350728 3.14150512065609e-08
31000 1550000 0.241090545573458 7.0385612191503e-08 0.0468583411948297 3.38517878244557e-08
32000 1600000 0.244480186598636 6.50296688439861e-08 0.0484975919677477 3.10575723562532e-08
33000 1650000 0.247631442607531 6.14480700810756e-08 0.0499672697723332 2.7990621533308e-08
34000 1700000 0.250657095281026 5.96733148479382e-08 0.0513140626487679 2.59383708380618e-08
35000 1750000 0.253574531524477 5.66727288763615e-08 0.0525683005476521 2.44155336858292e-08
36000 1800000 0.256314050318236 5.28994385182931e-08 0.0537709457655526 2.36995389211008e-08
