# Fix print output for fix posit_out
0 0 0.00969859543095833 3.42053936543839e-13 -0.0464223401282201 9.60244047348987e-13
1000 50000 1.45733275915765 2.97241707043137e-05 0.0871943752458388 4.63922620083395e-06
2000 100000 3.01206104951011 3.26250612732783e-05 0.237783974003475 -1.03185249300683e-07
3000 150000 4.66397736254711 3.3761051791144e-05 0.150507600386646 -1.79051713415843e-06
4000 200000 6.32871836063529 3.15554980974485e-05 0.188251642733431 3.34075487131432e-06
5000 250000 7.90910448655527 3.22410884734313e-05 0.287674865667006 -3.52288335939095e-07
6000 300000 9.54823604092781 3.33771380161177e-05 0.223279748964375 -1.19372424266694e-06
7000 350000 11.2081396863061 3.20565947996263e-05 0.244322564086794 2.52864459732484e-06
8000 400000 12.8018648521142 3.23595148278974e-05 0.337475720107773 5.79831388561036e-08
9000 450000 14.4346771910782 3.31213397527141e-05 0.287173623675073 -1.10856524331334e-06
10000 500000 16.0942512643112 3.23443586072163e-05 0.298865747736393 1.90245788632201e-06
11000 550000 17.6927641252532 3.21712831590492e-05 0.382284855002919 4.30648093946435e-07
12000 600000 19.330983016406 3.30496769158337e-05 0.351369655179632 -8.85011123050983e-07
13000 650000 20.9834907029375 3.24759794748757e-05 0.358607560619051 1.58286403059665e-06
14000 700000 22.5915705297366 3.21725814516675e-05 0.430500684249436 4.75256908381418e-07
15000 750000 24.2228028193693 3.31136042440419e-05 0.407560646511027 -7.30124221620287e-07
16000 800000 25.8769906284802 3.25094136989124e-05 0.414756929303122 1.33467936832544e-06
17000 850000 27.4877783888194 3.23745263494994e-05 0.481089540912307 5.85468155602133e-07
18000 900000 29.1203435527756 3.29177677404754e-05 0.463610420863111 -7.44748476948906e-07
19000 950000 30.7696172145231 3.26378579738375e-05 0.469829215661558 1.1682164145818e-06
20000 1000000 32.3851808502988 3.23105013700328e-05 0.526707967850162 5.37925369173458e-07
21000 1050000 34.0204160497068 3.30511874320714e-05 0.518016046962986 -4.62014294798159e-07
22000 1100000 35.6643722473703 3.25618906415478e-05 0.524976011538254 9.62460742529421e-07
23000 1150000 37.2846376834976 3.23580158581746e-05 0.575156417726588 4.61678943914953e-07
24000 1200000 38.915241810286 3.29769729259864e-05 0.566501813103767 -3.89277212801803e-07
25000 1250000 40.5616777956169 3.24836106677615e-05 0.57862744039284 9.0390964334339e-07
26000 1300000 42.1821427333025 3.24348731681741e-05 0.622229753845201 4.38179215129486e-07
27000 1350000 43.8157270601624 3.29078477099796e-05 0.619469644532461 -3.35816896490315e-07
28000 1400000 45.457161246775 3.26528637059994e-05 0.6289283520073 8.80132111771504e-07
29000 1450000 47.0812806061668 3.24927217333171e-05 0.668067234202438 3.60907787792254e-07
30000 1500000 48.7163168168301 3.30267823274322e-05 0.670556861968784 -6.50075491748854e-08
