# Fix print output for fix posit_out
0 0 158.25065205467 3.02271545501302e-06 74.3487517008751 1.25749929079236e-06
1000 50000 158.420289671277 3.33118800779028e-06 74.4117378777009 1.27382256713286e-06
2000 100000 158.585602725585 3.29354771801784e-06 74.4767928297049 1.335477662706e-06
3000 150000 158.751603815775 3.36241747767511e-06 74.544372382749 1.35676723397162e-06
4000 200000 158.92069883256 3.38977477451335e-06 74.6117180932937 1.33140396326227e-06
5000 250000 159.090047598321 3.38893494688509e-06 74.6786899265269 1.35844685478645e-06
6000 300000 159.259867459576 3.39782918620363e-06 74.7473302011738 1.37308554437036e-06
7000 350000 159.428977467679 3.37456153548697e-06 74.8148844880574 1.32363217158663e-06
8000 400000 159.597969385842 3.3807184610296e-06 74.8809425849182 1.33538537116893e-06
9000 450000 159.766661189463 3.34616565179302e-06 74.9480706497163 1.33225878796239e-06
10000 500000 159.932526564825 3.31243862310496e-06 75.0141204139129 1.31030771513133e-06
11000 550000 160.098702922694 3.33190644728252e-06 75.0796384188481 1.30547665694846e-06
12000 600000 160.266005070052 3.36145488216091e-06 75.1449454884023 1.32014356330623e-06
13000 650000 160.433325571406 3.31962281126593e-06 75.212033890231 1.35110985542747e-06
14000 700000 160.59834834562 3.30750513793884e-06 75.2793872469258 1.3451559517454e-06
15000 750000 160.764673390604 3.34565632794074e-06 75.3472581168388 1.37097679791426e-06
16000 800000 160.933180745676 3.40793077869254e-06 75.4155295632465 1.35649646177841e-06
17000 850000 161.104846315457 3.41799142374831e-06 75.4828632907025 1.33039288560687e-06
18000 900000 161.274150537133 3.37878154957766e-06 75.5496052872224 1.35636309908906e-06
19000 950000 161.442436331275 3.33504751295461e-06 75.6180184383754 1.37563895267907e-06
20000 1000000 161.607857651564 3.30663157580883e-06 75.6858676179879 1.33174848832991e-06
21000 1050000 161.773955818409 3.3288098278562e-06 75.7515587392442 1.29378926677892e-06
22000 1100000 161.942347665541 3.41687970992956e-06 75.8160758304001 1.289771178994e-06
23000 1150000 162.113310953988 3.40968705174825e-06 75.8808253838448 1.2907948742333e-06
24000 1200000 162.282758521169 3.36474596060231e-06 75.9447391704718 1.27367845953752e-06
25000 1250000 162.449813542395 3.33743574394399e-06 76.0079342725318 1.27106239628775e-06
26000 1300000 162.617126753304 3.32183021155089e-06 76.0721613126746 1.28690493241341e-06
27000 1350000 162.782815299256 3.32776031733079e-06 76.1357387254391 1.24766424699782e-06
28000 1400000 162.951119314542 3.38429637625559e-06 76.1979039019486 1.26012197623073e-06
29000 1450000 163.120901505582 3.40855667209473e-06 76.262023952547 1.31014775340206e-06
30000 1500000 163.289916901723 3.32790820550434e-06 76.3276599731091 1.29987220889888e-06
31000 1550000 163.454500034203 3.29987230548711e-06 76.3914352155735 1.25349176355288e-06
32000 1600000 163.621996498823 3.37416323945508e-06 76.455417482636 1.31101158051052e-06
33000 1650000 163.79015615551 3.34594548582785e-06 76.5208941249521 1.29921862758614e-06
34000 1700000 163.956363058264 3.32521934423767e-06 76.586006345096 1.31844704323562e-06
35000 1750000 164.122935986808 3.31421864111107e-06 76.6522323733359 1.31986277921039e-06
36000 1800000 164.288276902654 3.3248648471701e-06 76.7177126008235 1.30769937117975e-06
37000 1850000 164.455732348529 3.36421802275962e-06 76.7832058306598 1.31190404026245e-06
38000 1900000 164.623654797768 3.34698209070892e-06 76.8491171163807 1.31914268931818e-06
39000 1950000 164.7906170345 3.3289181401153e-06 76.9146030034188 1.29267615310997e-06
40000 2000000 164.957041309336 3.32916930354337e-06 76.9797060297936 1.31053735897072e-06
41000 2050000 165.122857737331 3.30942148613177e-06 77.0438585568663 1.26225998837043e-06
42000 2100000 165.289146434345 3.33689245883946e-06 77.108045774792 1.30429090057323e-06
43000 2150000 165.456323287657 3.34134436097051e-06 77.1731652954331 1.29181019032646e-06
44000 2200000 165.622292261223 3.31475595061395e-06 77.2368229763623 1.26111476669517e-06
45000 2250000 165.789135480297 3.3668070264701e-06 77.3008216835318 1.30334986976376e-06
46000 2300000 165.957830482841 3.36185773159087e-06 77.3667196050675 1.31623169048885e-06
47000 2350000 166.125318161494 3.33648722738594e-06 77.4308304534276 1.25583113186749e-06
48000 2400000 166.29245860123 3.34526561231758e-06 77.4949513878828 1.30903468235693e-06
49000 2450000 166.459060032627 3.32566212238362e-06 77.5618657875727 1.36868130174619e-06
50000 2500000 166.626997150585 3.38301071101774e-06 77.630782297467 1.37372727406161e-06
51000 2550000 166.795412352684 3.35723039957461e-06 77.6974845049237 1.28873257902414e-06
52000 2600000 166.963651277305 3.36729331972496e-06 77.7604124448581 1.24130671554682e-06
53000 2650000 167.131412436407 3.34990628288177e-06 77.8229126429698 1.26504199021446e-06
54000 2700000 167.298956061582 3.34805214411866e-06 77.8875567596859 1.32396596294292e-06
