# Fix print output for fix posit_out
0 0 123.576634555908 2.2754152377269e-06 59.9036078462174 1.04483607541636e-06
1000 50000 123.710267334284 2.61374608146897e-06 59.9584319298209 1.14134665492096e-06
2000 100000 123.838329854674 2.53431636914755e-06 60.0156342414399 1.14015531591275e-06
3000 150000 123.96659057928 2.60765509996078e-06 60.0729730154378 1.15813196685747e-06
4000 200000 124.098654282108 2.66361393421587e-06 60.1314378993646 1.17977042433132e-06
5000 250000 124.230453504876 2.59444072035346e-06 60.1898830528785 1.14658824942339e-06
6000 300000 124.358739556066 2.55256179226053e-06 60.2457188540742 1.09331414728734e-06
7000 350000 124.487750531476 2.61244879724836e-06 60.3002331632224 1.09418408206878e-06
8000 400000 124.619394656814 2.65475704168163e-06 60.3559115387716 1.13423296696033e-06
9000 450000 124.75194541635 2.63942829929598e-06 60.4132047017815 1.15189199174072e-06
10000 500000 124.88325084889 2.6189380363903e-06 60.4709724340778 1.16138489452002e-06
11000 550000 125.014240450394 2.62244715661286e-06 60.5289533655171 1.15361842169118e-06
12000 600000 125.145016736149 2.61833979385082e-06 60.5861904486649 1.11985998288242e-06
13000 650000 125.277258290268 2.66853954121779e-06 60.6411402299077 1.1017114720979e-06
14000 700000 125.411439442278 2.68064392156629e-06 60.6978467796579 1.15174007027625e-06
15000 750000 125.544033823604 2.62034713199364e-06 60.754472623718 1.10320278783256e-06
16000 800000 125.674777143692 2.62476394974592e-06 60.8089292148471 1.08703658932856e-06
17000 850000 125.806418938134 2.63050943997392e-06 60.8627551812029 1.06591235330183e-06
18000 900000 125.938338479269 2.64807119175541e-06 60.9162922635445 1.08569441659641e-06
19000 950000 126.069282911789 2.58442718841822e-06 60.9713605692383 1.11509778463991e-06
20000 1000000 126.198288358633 2.59183666016875e-06 61.0273419588107 1.12444293235879e-06
21000 1050000 126.329558546526 2.65953772941359e-06 61.0835938845806 1.11931021477807e-06
22000 1100000 126.46340246284 2.68320722098046e-06 61.1389870095392 1.099349612161e-06
23000 1150000 126.597812218523 2.67700514312255e-06 61.1939972824642 1.09831576500376e-06
24000 1200000 126.730399714193 2.63576056623741e-06 61.2487027603311 1.0906583447602e-06
25000 1250000 126.862453921873 2.65713204972363e-06 61.3029001123132 1.07684631627781e-06
26000 1300000 126.995816666267 2.67984608776227e-06 61.3568481943485 1.08229413198696e-06
27000 1350000 127.130235165951 2.69881144674714e-06 61.4106761041868 1.06826536166375e-06
28000 1400000 127.265928619355 2.74082460310956e-06 61.4642677838666 1.08125632181243e-06
29000 1450000 127.402866621694 2.72319002388157e-06 61.5175811732456 1.04722933086626e-06
30000 1500000 127.538427875322 2.70442909044468e-06 61.5694671461512 1.04075734315589e-06
31000 1550000 127.673586582418 2.68844526839894e-06 61.6223873492739 1.06400829340589e-06
32000 1600000 127.806730624252 2.6455200730593e-06 61.675055551477 1.03482007237988e-06
33000 1650000 127.939588391201 2.68584683202846e-06 61.7265820723534 1.0472762742702e-06
34000 1700000 128.076146861999 2.7529153739068e-06 61.7804713009419 1.10084952214947e-06
35000 1750000 128.211199035087 2.65226246258753e-06 61.835126824682 1.07916240512629e-06
36000 1800000 128.342505375021 2.60671133735416e-06 61.8887010910659 1.05446889374997e-06
37000 1850000 128.474465183898 2.66291897418479e-06 61.9399606900331 9.99171241356563e-07
38000 1900000 128.60678752953 2.631243524794e-06 61.9903251304049 1.03634766010729e-06
39000 1950000 128.737679088848 2.59395881859115e-06 62.0436497799182 1.08475222038438e-06
40000 2000000 128.866288304927 2.56514095620538e-06 62.0988460700764 1.12087119164557e-06
41000 2050000 128.995711978497 2.61652460950549e-06 62.1550359949269 1.11769670949139e-06
